sizing_config,split_id,test_start,test_end,days,spy_return,our_return,our_minus_spy,spy_max_drawdown,our_max_drawdown,avg_abs_position,avg_net_position,long_day_rate,short_day_rate,cash_day_rate,turnover,transaction_cost,short_borrow_cost,winner
fractional_quarter_10bp_edge,5,2020-10-16,2021-04-15,124,0.21054748956325064,0.028166791540101155,-0.1823806980231495,-0.0556425622365041,-0.11504757926429232,0.9415322580645161,-0.010080645161290322,0.5,0.4838709677419355,0.016129032258064516,48.5,0.00485,0.0005853174603174603,SPY
fractional_quarter_10bp_edge,6,2021-04-16,2021-10-15,128,0.07868080621323292,0.08318648415090091,0.0045056779376679845,-0.051141231875642124,-0.05114123187564146,0.982421875,0.927734375,0.96875,0.03125,0.0,18.5,0.00185,3.472222222222222e-05,our_model
fractional_quarter_10bp_edge,7,2021-10-18,2022-04-14,125,-0.014123504276864707,0.042682790744743127,0.05680629502160783,-0.12865546428446328,-0.11989565661936374,0.936,0.356,0.664,0.328,0.008,36.5,0.0036500000000000005,0.0003596230158730159,our_model
fractional_quarter_10bp_edge,8,2022-04-18,2022-10-14,126,-0.15538071876196446,0.3676907241509717,0.5230714429129362,-0.19204729108991025,-0.12605573283239668,0.9861111111111112,-0.6011904761904762,0.1984126984126984,0.8015873015873016,0.0,25.0,0.0025,0.0009920634920634922,our_model
fractional_quarter_10bp_edge,9,2022-10-17,2023-04-14,124,0.1379637095628743,0.07717844774510407,-0.06078526181777022,-0.07538750754385104,-0.12447839000562821,0.9858870967741935,0.3850806451612903,0.6854838709677419,0.3064516129032258,0.008064516129032258,10.5,0.00105,0.0003695436507936508,SPY
fractional_quarter_10bp_edge,10,2023-04-17,2023-10-13,126,0.06103187577942748,0.09366021593138618,0.0326283401519587,-0.07582731851581215,-0.029466007842141262,0.9305555555555556,-0.25992063492063494,0.35714285714285715,0.626984126984127,0.015873015873015872,39.5,0.0039499999999999995,0.000744047619047619,our_model
fractional_quarter_10bp_edge,11,2023-10-16,2024-04-15,125,0.16306371015310295,0.24979746684997894,0.086733756696876,-0.05811644341141653,-0.01974026374871196,0.976,0.824,0.912,0.08,0.008,18.0,0.0018000000000000002,9.424603174603175e-05,our_model
fractional_quarter_10bp_edge,12,2024-04-16,2024-10-15,127,0.16372494447839836,-0.03322422565677685,-0.1969491701351752,-0.08405608805215348,-0.0840560880521537,0.9488188976377953,0.047244094488188976,0.5118110236220472,0.47244094488188976,0.015748031496062992,27.5,0.00275,0.0005679563492063492,SPY
fractional_quarter_10bp_edge,13,2024-10-16,2025-04-15,124,-0.09150654141545045,-0.11445884157781683,-0.02295230016236638,-0.18755234489427275,-0.1875523448942732,0.9798387096774194,0.7661290322580645,0.8790322580645161,0.11290322580645161,0.008064516129032258,22.5,0.0022500000000000003,0.0001314484126984127,SPY
fractional_quarter_10bp_edge,14,2025-04-16,2025-10-15,126,0.2639920319541349,-0.028129096013306043,-0.29212112796744094,-0.02984653787017788,-0.09419236214346671,0.9603174603174603,-0.05555555555555555,0.47619047619047616,0.5158730158730159,0.007936507936507936,42.0,0.004200000000000001,0.0006349206349206349,SPY
fractional_quarter_10bp_edge,15,2025-10-16,2026-04-15,124,0.0681388808388852,0.10607486206341732,0.03793598122453212,-0.08884968175523811,-0.08577380838039161,0.9879032258064516,0.7137096774193549,0.8629032258064516,0.13709677419354838,0.0,18.5,0.00185,0.00016865079365079364,our_model
fractional_quarter_10bp_edge,16,2026-04-16,2026-07-02,54,0.07403367927861226,0.07403367927861226,0.0,-0.04494652583696368,-0.04494652583696368,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,SPY
fractional_quarter_20bp_edge,1,2018-10-16,2019-04-15,124,0.04543479073578616,0.09033892931103904,0.04490413857525288,-0.16120999241903322,-0.11658683947549653,0.9173387096774194,-0.046370967741935484,0.4596774193548387,0.5161290322580645,0.024193548387096774,35.0,0.0035,0.0005927579365079365,our_model
fractional_quarter_20bp_edge,2,2019-04-16,2019-10-15,127,0.038172231492216824,0.041818484986399174,0.00364625349418235,-0.06618365702175977,-0.06618365702175932,0.9862204724409449,0.9862204724409449,1.0,0.0,0.0,3.25,0.00032500000000000004,0.0,our_model
fractional_quarter_20bp_edge,3,2019-10-16,2020-04-15,125,-0.05455269717552913,0.4794685404250736,0.5340212376006027,-0.33717262742332,-0.232863066552357,0.966,-0.834,0.08,0.912,0.008,22.75,0.002275,0.0011160714285714287,our_model
fractional_quarter_20bp_edge,4,2020-04-16,2020-10-15,128,0.25479976125070136,0.21538252841024375,-0.03941723284045762,-0.09440438875248791,-0.06989512189093672,0.90234375,0.51953125,0.7578125,0.2109375,0.03125,39.5,0.00395,0.00024305555555555555,SPY
fractional_quarter_20bp_edge,5,2020-10-16,2021-04-15,124,0.21054748956325064,0.03266349324813089,-0.17788399631511975,-0.0556425622365041,-0.11348010405428754,0.905241935483871,-0.018145161290322582,0.4838709677419355,0.47580645161290325,0.04032258064516129,50.0,0.005,0.000567956349206349,SPY
fractional_quarter_20bp_edge,6,2021-04-16,2021-10-15,128,0.07868080621323292,0.08558086588289004,0.0069000596696571215,-0.051141231875642124,-0.051141231875641235,0.96484375,0.9296875,0.96875,0.03125,0.0,15.5,0.00155,2.232142857142857e-05,our_model
fractional_quarter_20bp_edge,7,2021-10-18,2022-04-14,125,-0.014123504276864707,0.03502493623199898,0.04914844050886369,-0.12865546428446328,-0.12204766294892022,0.878,0.354,0.664,0.304,0.032,33.5,0.00335,0.00032490079365079367,our_model
fractional_quarter_20bp_edge,8,2022-04-18,2022-10-14,126,-0.15538071876196446,0.3516006649280565,0.506981383690021,-0.19204729108991025,-0.12605573283239646,0.9702380952380952,-0.6130952380952381,0.1984126984126984,0.8015873015873016,0.0,25.0,0.0025,0.0009895833333333334,our_model
fractional_quarter_20bp_edge,9,2022-10-17,2023-04-14,124,0.1379637095628743,0.06890174810417005,-0.06906196145870425,-0.07538750754385104,-0.13120562207218123,0.9838709677419355,0.38306451612903225,0.6854838709677419,0.3064516129032258,0.008064516129032258,11.0,0.0010999999999999998,0.0003695436507936508,SPY
fractional_quarter_20bp_edge,10,2023-04-17,2023-10-13,126,0.06103187577942748,0.07760831111165611,0.016576435332228634,-0.07582731851581215,-0.027784373483666247,0.8630952380952381,-0.25992063492063494,0.35714285714285715,0.626984126984127,0.015873015873015872,39.75,0.003975,0.0007018849206349208,our_model
fractional_quarter_20bp_edge,11,2023-10-16,2024-04-15,125,0.16306371015310295,0.24916432932409838,0.08610061917099543,-0.05811644341141653,-0.019887311235374683,0.954,0.814,0.912,0.08,0.008,18.5,0.0018500000000000003,8.680555555555556e-05,our_model
fractional_quarter_20bp_edge,12,2024-04-16,2024-10-15,127,0.16372494447839836,-0.0304802607304121,-0.19420520520881046,-0.08405608805215348,-0.08405608805215359,0.9133858267716536,0.03543307086614173,0.5039370078740157,0.4645669291338583,0.031496062992125984,25.75,0.002575,0.0005530753968253967,SPY
