source_group,strategy,split_id,expected_test_rows,rows_available,missing_test_rows,test_start,test_end,total_return,annual_return,annual_volatility,sharpe,max_drawdown,calmar,positive_day_rate,avg_exposure,avg_net_exposure,long_day_rate,short_day_rate,cash_day_rate,annual_turnover,total_transaction_cost,total_short_borrow_cost
baseline_rules_rebuilt_1bp,baseline_momentum_5d,1,124,124,0,2018-10-16,2019-04-15,0.07200534162166172,0.15177591823925551,0.1080368940652699,1.3625997754604493,-0.060868278338883086,2.4935142307499762,0.3870967741935484,0.6209677419354839,0.6209677419354839,0.6209677419354839,0.0,0.3790322580645161,34.54838709677419,0.0017000000000000001,
baseline_rules_rebuilt_1bp,baseline_momentum_5d,2,127,127,0,2019-04-16,2019-10-15,0.03010697665567319,0.060624819571287736,0.08859016125403713,0.70901956075874,-0.07195404599934074,0.8425491399308274,0.29133858267716534,0.5590551181102362,0.5590551181102362,0.5590551181102362,0.0,0.4409448818897638,43.653543307086615,0.0022,
baseline_rules_rebuilt_1bp,baseline_momentum_5d,3,125,125,0,2019-10-16,2020-04-15,0.05282851495928065,0.1093612708767242,0.20147048463684963,0.6172711074799894,-0.1296853988905008,0.8432812931320267,0.456,0.728,0.728,0.728,0.0,0.272,28.224,0.0014,
baseline_rules_rebuilt_1bp,baseline_momentum_5d,4,128,128,0,2020-04-16,2020-10-15,0.03508587018311138,0.07024879709700249,0.1745902580766718,0.4771162205840903,-0.09781463849382743,0.7181828627975303,0.40625,0.703125,0.703125,0.703125,0.0,0.296875,51.1875,0.0026,
baseline_rules_rebuilt_1bp,baseline_momentum_5d,5,124,124,0,2020-10-16,2021-04-15,0.06960791995838989,0.14654722989122626,0.09347423125173755,1.510183900440533,-0.041120584956169215,3.5638410797762776,0.3225806451612903,0.6209677419354839,0.6209677419354839,0.6209677419354839,0.0,0.3790322580645161,48.774193548387096,0.0024000000000000002,
baseline_rules_rebuilt_1bp,baseline_momentum_5d,6,128,128,0,2021-04-16,2021-10-15,0.006320343084395885,0.012481266682170533,0.07084854139634103,0.21053843614629392,-0.032773857048257526,0.3808299604099884,0.34375,0.6484375,0.6484375,0.6484375,0.0,0.3515625,47.25,0.0024000000000000002,
baseline_rules_rebuilt_1bp,baseline_momentum_5d,7,125,125,0,2021-10-18,2022-04-14,-0.008966180998393192,-0.017993492729002747,0.11675280045731568,-0.09700888054011854,-0.11401588988560563,-0.15781565838810688,0.288,0.544,0.544,0.544,0.0,0.456,46.368,0.0023,
baseline_rules_rebuilt_1bp,baseline_momentum_5d,8,126,126,0,2022-04-18,2022-10-14,-0.029355949769148126,-0.05785012775144749,0.17387662400619805,-0.255356675200362,-0.05982515917642339,-0.9669866081066066,0.19047619047619047,0.4523809523809524,0.4523809523809524,0.4523809523809524,0.0,0.5476190476190477,44.0,0.0022,
baseline_rules_rebuilt_1bp,baseline_momentum_5d,9,124,124,0,2022-10-17,2023-04-14,-0.035632346999847186,-0.07108287915465539,0.1320606316553365,-0.49235864080543984,-0.10171530586309363,-0.6988415219468666,0.2661290322580645,0.5887096774193549,0.5887096774193549,0.5887096774193549,0.0,0.4112903225806452,67.06451612903226,0.0033,
baseline_rules_rebuilt_1bp,baseline_momentum_5d,10,126,126,0,2023-04-17,2023-10-13,0.026549169407621864,0.053803197211478304,0.08117183912086855,0.6862462549321127,-0.046301996972558324,1.162005976618367,0.30158730158730157,0.5793650793650794,0.5793650793650794,0.5793650793650794,0.0,0.42063492063492064,44.0,0.0022,
baseline_rules_rebuilt_1bp,baseline_momentum_5d,11,125,125,0,2023-10-16,2024-04-15,0.10820557731506675,0.23014013547981604,0.0968095795991098,2.188740042454686,-0.044249619692482534,5.200951716177439,0.424,0.752,0.752,0.752,0.0,0.248,46.368,0.0022999999999999995,
baseline_rules_rebuilt_1bp,baseline_momentum_5d,12,127,127,0,2024-04-16,2024-10-15,0.11472511687708042,0.24048858901965509,0.09333503583084032,2.3566438337917255,-0.046368113843900605,5.186507905610865,0.4409448818897638,0.6692913385826772,0.6692913385826772,0.6692913385826772,0.0,0.33070866141732286,49.60629921259843,0.0024999999999999996,
baseline_rules_rebuilt_1bp,baseline_momentum_5d,13,124,124,0,2024-10-16,2025-04-15,-0.12561003723527475,-0.23874554239750467,0.09958012465910766,-2.6877282370224678,-0.12903525314252307,-1.8502350061948072,0.23387096774193547,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.0,0.5161290322580645,52.83870967741936,0.0026000000000000003,
baseline_rules_rebuilt_1bp,baseline_momentum_5d,14,126,126,0,2025-04-16,2025-10-15,0.06093450858582572,0.12558203150824743,0.0883251456156124,1.384093963678388,-0.03296554666441853,3.809493371568893,0.4126984126984127,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.0,0.2777777777777778,54.0,0.0027,
baseline_rules_rebuilt_1bp,baseline_momentum_5d,15,124,124,0,2025-10-16,2026-04-15,0.0570920149432006,0.11944668998801466,0.08075723059529834,1.4378213555754142,-0.0461326274078776,2.5892019748178914,0.29838709677419356,0.5403225806451613,0.5403225806451613,0.5403225806451613,0.0,0.4596774193548387,38.612903225806456,0.0019000000000000002,
baseline_rules_rebuilt_1bp,baseline_momentum_5d,16,54,49,5,2026-04-16,2026-06-25,0.03196621078518924,0.17565419848551667,0.11833671241841748,1.4272836595004585,-0.037498425843234595,4.684308595242216,0.40816326530612246,0.7551020408163265,0.7551020408163265,0.7551020408163265,0.0,0.24489795918367346,25.714285714285715,0.0005,
baseline_rules_rebuilt_1bp,baseline_reversion_10d,1,124,124,0,2018-10-16,2019-04-15,-0.013287950961558437,-0.026819366849671122,0.14789854782422668,-0.1102538658092752,-0.11207566302576455,-0.2392969724703368,0.18548387096774194,0.3629032258064516,0.3629032258064516,0.3629032258064516,0.0,0.6370967741935484,26.41935483870968,0.0013000000000000002,
baseline_rules_rebuilt_1bp,baseline_reversion_10d,2,127,127,0,2019-04-16,2019-10-15,-0.0028961687890194376,-0.005738537799231724,0.1250168403969998,0.016821032707697626,-0.04696253743909995,-0.1221939467532678,0.23622047244094488,0.4251968503937008,0.4251968503937008,0.4251968503937008,0.0,0.5748031496062992,31.748031496062993,0.0016,
baseline_rules_rebuilt_1bp,baseline_reversion_10d,3,125,125,0,2019-10-16,2020-04-15,-0.16266571373614347,-0.3008600306013097,0.3788228044168481,-0.7522604614314486,-0.3276494644899709,-0.9182375166388188,0.136,0.28,0.28,0.28,0.0,0.72,16.128,0.0008,
baseline_rules_rebuilt_1bp,baseline_reversion_10d,4,128,128,0,2020-04-16,2020-10-15,0.07840403836796628,0.16021530187077637,0.08947766745961586,1.7061258629000313,-0.04773668099801032,3.3562304400143406,0.15625,0.21875,0.21875,0.21875,0.0,0.78125,23.625,0.0012000000000000001,
baseline_rules_rebuilt_1bp,baseline_reversion_10d,5,124,124,0,2020-10-16,2021-04-15,0.07471085839551006,0.1576910645428502,0.10704257947622928,1.4219289197528584,-0.05573877603604338,2.8291088494817243,0.13709677419354838,0.21774193548387097,0.21774193548387097,0.21774193548387097,0.0,0.782258064516129,36.58064516129033,0.0018,
baseline_rules_rebuilt_1bp,baseline_reversion_10d,6,128,128,0,2021-04-16,2021-10-15,0.042956008310422567,0.0863284875842738,0.08396972613829884,1.028333774664481,-0.03733180566329042,2.312464828594225,0.1484375,0.2734375,0.2734375,0.2734375,0.0,0.7265625,27.5625,0.0014000000000000002,
baseline_rules_rebuilt_1bp,baseline_reversion_10d,7,125,125,0,2021-10-18,2022-04-14,0.019640593328347444,0.03999053768646621,0.14680639351057295,0.34041549425323314,-0.08445511508446846,0.4735123224504443,0.216,0.448,0.448,0.448,0.0,0.552,30.24,0.0015,
baseline_rules_rebuilt_1bp,baseline_reversion_10d,8,126,126,0,2022-04-18,2022-10-14,-0.14652569919615488,-0.27158161786738766,0.21710455417093863,-1.3495561989717677,-0.18846777315045138,-1.440997648179286,0.24603174603174602,0.5873015873015873,0.5873015873015873,0.5873015873015873,0.0,0.4126984126984127,22.0,0.0011,
baseline_rules_rebuilt_1bp,baseline_reversion_10d,9,124,124,0,2022-10-17,2023-04-14,0.04057457872191872,0.08418557342332567,0.1370630402013109,0.6575552405131856,-0.05279669590579228,1.5945235204404096,0.1693548387096774,0.3709677419354839,0.3709677419354839,0.3709677419354839,0.0,0.6290322580645161,36.58064516129033,0.0018,
baseline_rules_rebuilt_1bp,baseline_reversion_10d,10,126,126,0,2023-04-17,2023-10-13,0.012304606194299073,0.0247606157221949,0.08476242585018837,0.3309058890141957,-0.06058025543044221,0.40872418820724277,0.18253968253968253,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.0,0.6190476190476191,24.0,0.0012000000000000001,
baseline_rules_rebuilt_1bp,baseline_reversion_10d,11,125,125,0,2023-10-16,2024-04-15,0.025123424786163584,0.05129532619335375,0.06455692218510757,0.80717595569816,-0.030569204144256346,1.67800659615771,0.112,0.192,0.192,0.192,0.0,0.808,22.176,0.0011,
baseline_rules_rebuilt_1bp,baseline_reversion_10d,12,127,127,0,2024-04-16,2024-10-15,0.07874903001506683,0.1623111517614535,0.10175876209944965,1.5295420948224725,-0.06719555149623213,2.41550442175558,0.2047244094488189,0.33858267716535434,0.33858267716535434,0.33858267716535434,0.0,0.6614173228346457,33.73228346456693,0.0017000000000000001,
baseline_rules_rebuilt_1bp,baseline_reversion_10d,13,124,124,0,2024-10-16,2025-04-15,-0.03840044874391124,-0.07649355328834129,0.2308654617764602,-0.23110861499335536,-0.15194425596886796,-0.5034316881581502,0.28225806451612906,0.5,0.5,0.5,0.0,0.5,38.612903225806456,0.0019000000000000002,
baseline_rules_rebuilt_1bp,baseline_reversion_10d,14,126,126,0,2025-04-16,2025-10-15,0.053044676595342954,0.10890309090579042,0.05379416198149155,1.9489621755308146,-0.023900385636001054,4.55654116064764,0.0873015873015873,0.11904761904761904,0.11904761904761904,0.11904761904761904,0.0,0.8809523809523809,28.0,0.0014000000000000002,
baseline_rules_rebuilt_1bp,baseline_reversion_10d,15,124,124,0,2025-10-16,2026-04-15,0.07991621912480973,0.16911498348279297,0.10771862983687686,1.504773981513876,-0.07507197628192597,2.2527045624547974,0.31451612903225806,0.5080645161290323,0.5080645161290323,0.5080645161290323,0.0,0.49193548387096775,46.74193548387097,0.0023,
baseline_rules_rebuilt_1bp,baseline_reversion_10d,16,54,49,5,2026-04-16,2026-06-25,0.012462285342688784,0.06576801022138912,0.07853967798150521,0.8502657853300309,-0.01865473402968687,3.5255399576711666,0.12244897959183673,0.24489795918367346,0.24489795918367346,0.24489795918367346,0.0,0.7551020408163265,20.57142857142857,0.0004,
baseline_rules_rebuilt_1bp,baseline_reversion_20d,1,124,124,0,2018-10-16,2019-04-15,-0.04122401810749765,-0.08199610755749731,0.1531474056058228,-0.48228493640085435,-0.1422754911160058,-0.5763192726612409,0.20967741935483872,0.4112903225806452,0.4112903225806452,0.4112903225806452,0.0,0.5887096774193549,14.225806451612902,0.0007,
baseline_rules_rebuilt_1bp,baseline_reversion_20d,2,127,127,0,2019-04-16,2019-10-15,0.028894233961700877,0.058148576641773086,0.12127350729413373,0.5270737729027123,-0.04696253743910006,1.238190690125695,0.2204724409448819,0.4094488188976378,0.4094488188976378,0.4094488188976378,0.0,0.5905511811023622,13.88976377952756,0.0007,
