refresh_schedule,model,period_id,test_start,test_end,days,spy_return,our_return,our_minus_spy,spy_max_drawdown,our_max_drawdown,long_days,short_days,cash_days,turnover,transaction_cost,short_borrow_cost,winner
biweekly,logistic_regression,64,2021-03-16,2021-03-29,10,0.00028473849011056984,-0.0010603439856410324,-0.0013450824757516022,-0.021322948584007406,-0.02166978876202741,0,10,0,0.0,0.0,9.92063492063492e-05,SPY
biweekly,logistic_regression,65,2021-03-30,2021-04-12,9,0.04593009991808028,-0.04440525267014073,-0.09033535258822101,-0.0005905877912458779,-0.04050642157209805,0,9,0,0.0,0.0,8.928571428571429e-05,SPY
biweekly,logistic_regression,66,2021-04-13,2021-04-26,10,0.011287225138060686,0.011084274589141518,-0.00020295054891916742,-0.012198558174498775,-0.012198558174498997,10,0,0,2.0,0.0002,0.0,SPY
biweekly,logistic_regression,67,2021-04-27,2021-05-10,10,-0.00792780878101984,-0.00739112622017668,0.0005366825608431602,-0.01873870694144919,-0.01873870694144908,7,3,0,4.0,0.0004,2.9761904761904762e-05,our_model
biweekly,logistic_regression,68,2021-05-11,2021-05-24,10,0.009729425777153411,-0.029147085229716096,-0.03887651100686951,-0.013730751975867705,-0.022007696430770718,2,8,0,2.0,0.0002,7.936507936507937e-05,SPY
biweekly,logistic_regression,69,2021-05-25,2021-06-07,9,0.009659487120200927,0.008125548143730787,-0.0015339389764701394,-0.003711234631019855,-0.0030437940644556516,1,8,0,4.0,0.0004,7.936507936507937e-05,SPY
biweekly,logistic_regression,70,2021-06-08,2021-06-21,10,0.00524375733385174,0.0013155429823539233,-0.003928214351497816,-0.02112261599859988,-0.02112261599859999,9,1,0,6.0,0.0006000000000000001,9.92063492063492e-06,SPY
biweekly,logistic_regression,71,2021-06-22,2021-07-02,9,0.023208848848227825,-0.0008303105685627532,-0.02403915941679058,-0.001821412307474346,-0.012856176628658567,3,6,0,4.0,0.0004,5.9523809523809524e-05,SPY
biweekly,logistic_regression,72,2021-07-06,2021-07-19,10,-0.004319436635227714,-0.004319436635227714,0.0,-0.027706552882141078,-0.027706552882141078,10,0,0,0.0,0.0,0.0,SPY
biweekly,logistic_regression,73,2021-07-20,2021-08-02,10,0.023407481225429905,0.023407481225429905,0.0,-0.007777417790975516,-0.007777417790975516,10,0,0,0.0,0.0,0.0,SPY
biweekly,logistic_regression,74,2021-08-03,2021-08-16,10,0.006551127699175874,0.006551127699175874,0.0,-0.006555313153083997,-0.006555313153083997,10,0,0,0.0,0.0,0.0,SPY
biweekly,logistic_regression,75,2021-08-17,2021-08-30,10,0.016935309465046844,0.016935309465046844,0.0,-0.005903343327045896,-0.005903343327045896,10,0,0,0.0,0.0,0.0,SPY
biweekly,logistic_regression,76,2021-08-31,2021-09-13,9,-0.01636534509970633,-0.01636534509970633,0.0,-0.019903255100297,-0.019903255100297,9,0,0,0.0,0.0,0.0,SPY
biweekly,logistic_regression,77,2021-09-14,2021-09-27,10,-0.02039888869800166,0.003100864481888621,0.02349975317989028,-0.028714935971778877,-0.022103454271536038,3,7,0,6.0,0.0006000000000000001,6.944444444444444e-05,our_model
biweekly,logistic_regression,78,2021-09-28,2021-10-11,10,-0.0002305327753523434,-0.0005903655859292867,-0.0003598328105769433,-0.013373080361196443,-0.023067110350082465,0,10,0,0.0,0.0,9.92063492063492e-05,SPY
biweekly,logistic_regression,79,2021-10-12,2021-10-25,10,0.05151966788419782,-0.04954191074120318,-0.101061578625401,-0.001036083013505551,-0.04610072239750351,0,10,0,0.0,0.0,9.92063492063492e-05,SPY
biweekly,logistic_regression,80,2021-10-26,2021-11-08,10,0.0250461900910961,0.024840268586704184,-0.00020592150439191492,-0.0033054424408592853,-0.0033054424408593963,10,0,0,2.0,0.0002,0.0,SPY
biweekly,logistic_regression,81,2021-11-09,2021-11-22,10,0.0017332380304275752,0.012586306924108781,0.010853068893681206,-0.00459865942647586,-0.005508816283323559,1,9,0,6.0,0.0006000000000000001,8.928571428571429e-05,our_model
biweekly,logistic_regression,82,2021-11-23,2021-12-06,9,0.0001920093388001476,-7.4964684738665355e-06,-0.00019950580727401412,-0.04034585309501049,-0.040345853095010376,9,0,0,2.0,0.0002,0.0,SPY
biweekly,logistic_regression,83,2021-12-07,2021-12-20,10,-0.007673199731516367,-0.01838902712976609,-0.010715827398249722,-0.03008353695552668,-0.0451569759950291,4,6,0,4.0,0.0004,5.9523809523809524e-05,SPY
biweekly,logistic_regression,84,2021-12-21,2022-01-03,9,0.03129204071896785,-0.031002259875842153,-0.062294300594810004,-0.005277793665153352,-0.021325847855821922,0,9,0,2.0,0.0002,8.928571428571429e-05,SPY
biweekly,logistic_regression,85,2022-01-04,2022-01-14,9,-0.044100112470659814,0.04501622185915055,0.08911633432981036,-0.03084777941875594,-0.011806780020409802,0,9,0,0.0,0.0,8.928571428571429e-05,our_model
biweekly,logistic_regression,86,2022-01-18,2022-01-31,10,-0.0077549375229005735,-0.018747925266930476,-0.010992987744029903,-0.045401214154820235,-0.0579288932202181,1,9,0,4.0,0.0004,8.928571428571429e-05,SPY
biweekly,logistic_regression,87,2022-02-01,2022-02-14,10,-0.015122907592137413,-0.007763353065476819,0.007359554526660594,-0.04047731285917755,-0.04996671709109335,5,5,0,8.0,0.0008,4.96031746031746e-05,our_model
biweekly,logistic_regression,88,2022-02-15,2022-02-28,9,-0.036135578634934995,-0.006955871602596364,0.02917970703233863,-0.05519489762511409,-0.034907388862415956,4,5,0,10.0,0.001,4.96031746031746e-05,our_model
biweekly,logistic_regression,89,2022-03-01,2022-03-14,10,-0.008860798068485276,0.039812127235679506,0.04867292530416478,-0.04941892633176026,-0.024356114389194716,6,4,0,4.0,0.0004,3.968253968253968e-05,our_model
biweekly,logistic_regression,90,2022-03-15,2022-03-28,10,0.08638309475970085,-0.060345544145223196,-0.14672863890492405,-0.012878395275083498,-0.03893314569587025,2,8,0,6.0,0.0006000000000000001,7.936507936507937e-05,SPY
biweekly,logistic_regression,91,2022-03-29,2022-04-11,10,-0.05039539785534386,-0.05058649880412003,-0.00019110094877616834,-0.044495256118964766,-0.044495256118964766,10,0,0,2.0,0.0002,0.0,SPY
biweekly,logistic_regression,92,2022-04-12,2022-04-25,9,-0.05062855233227015,0.05050069867619644,0.10112925100846659,-0.06502764616540901,-0.01656672700389339,0,9,0,2.0,0.0002,8.928571428571429e-05,our_model
biweekly,logistic_regression,93,2022-04-26,2022-05-09,10,-0.04087973121905408,0.029191438495851152,0.07007116971490523,-0.07199449279534342,-0.03798855902251508,9,1,0,6.0,0.0006000000000000001,9.92063492063492e-06,our_model
biweekly,logistic_regression,94,2022-05-10,2022-05-23,10,-0.013029427327251542,0.02374904508287634,0.03677847241012788,-0.04618928628442709,-0.02058029482216228,3,7,0,2.0,0.0002,6.944444444444444e-05,our_model
biweekly,logistic_regression,95,2022-05-24,2022-06-06,9,0.05547217771953594,0.0012668276481815344,-0.05420535007135441,-0.01641146542909766,-0.030210772054590773,2,7,0,4.0,0.0004,6.944444444444444e-05,SPY
biweekly,logistic_regression,96,2022-06-07,2022-06-17,9,-0.09392840155010929,0.02886234321721859,0.12279074476732788,-0.10838459346558327,-0.0595848146204343,6,3,0,2.0,0.0002,2.9761904761904762e-05,our_model
biweekly,logistic_regression,97,2022-06-21,2022-07-01,9,0.018369888191686057,-0.004215747285452376,-0.022585635477138433,-0.032890846412737984,-0.03200404960278935,2,7,0,2.0,0.0002,6.944444444444444e-05,SPY
biweekly,logistic_regression,98,2022-07-05,2022-07-18,10,0.026992419223513586,0.08713104418621032,0.06013862496269673,-0.028484141180739386,-0.00825684338538435,5,5,0,6.0,0.0006000000000000001,4.96031746031746e-05,our_model
biweekly,logistic_regression,99,2022-07-19,2022-08-01,10,0.04025306324512923,-0.04039491996872002,-0.08064798321384925,-0.019809827784538103,-0.0522338395044496,0,10,0,2.0,0.0002,9.92063492063492e-05,SPY
biweekly,logistic_regression,100,2022-08-02,2022-08-15,10,0.05303123663207221,-0.05141798695933941,-0.10444922359141162,-0.007480070545421769,-0.043468704523917046,0,10,0,0.0,0.0,9.92063492063492e-05,SPY
biweekly,logistic_regression,101,2022-08-16,2022-08-29,10,-0.07328389784951661,0.06101076995717114,0.13429466780668775,-0.0693636360421579,-0.017293195141213746,1,9,0,4.0,0.0004,8.928571428571429e-05,our_model
